group,location,date,phq_attendance_community_hospitality_stats_sum,phq_attendance_conferences_hospitality_stats_sum,phq_attendance_expos_hospitality_stats_sum,phq_attendance_sports_hospitality_stats_sum,phq_impact_academic_exam_stats_sum,phq_impact_academic_holiday_stats_sum,phq_impact_observances_hospitality_stats_sum,phq_impact_public_holidays_hospitality_stats_sum,phq_impact_severe_weather_cold_wave_retail_stats_max,phq_impact_severe_weather_cold_wave_storm_retail_stats_max,phq_impact_severe_weather_heat_wave_retail_stats_max,phq_impact_severe_weather_tornado_retail_stats_max,phq_attendance_performing_arts_hospitality_stats_sum,phq_impact_severe_weather_flood_retail_stats_max,phq_impact_severe_weather_thunderstorm_retail_stats_max
group_A,store_0,2017-01-02,6704.0,0,0,26115,0,0,0,95,0,0,0.0,0.0,,,
group_A,store_0,2017-01-03,6704.0,0,0,31876,0,0,0,13,0,0,0.0,0.0,,,
group_A,store_0,2017-01-04,6704.0,0,0,26115,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-01-05,6704.0,0,0,13760,0,0,9,0,0,0,0.0,0.0,,,
group_A,store_0,2017-01-06,8380.0,0,0,19500,0,0,10,0,0,0,0.0,0.0,,,
group_A,store_0,2017-01-07,10056.0,0,0,6825,0,0,90,0,0,0,0.0,0.0,,,
group_A,store_0,2017-01-08,1308.0,0,0,6935,0,0,94,0,0,0,0.0,0.0,,,
group_A,store_0,2017-01-09,0.0,0,0,19812,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-01-10,0.0,0,0,6935,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-01-11,0.0,0,142,6935,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-01-12,0.0,0,567,26115,0,0,9,0,0,0,0.0,0.0,,,
group_A,store_0,2017-01-13,0.0,0,2833,31000,0,0,10,7,0,0,0.0,0.0,,,
group_A,store_0,2017-01-14,0.0,0,4774,23612,0,0,90,7,0,0,0.0,0.0,,,
group_A,store_0,2017-01-15,0.0,0,16346,6059,0,0,24,36,0,0,0.0,0.0,,,
group_A,store_0,2017-01-16,0.0,0,13506,6303,0,0,0,90,0,0,0.0,0.0,,,
group_A,store_0,2017-01-17,0.0,0,22576,18006,0,0,0,13,0,0,0.0,0.0,,,
group_A,store_0,2017-01-18,0.0,0,13756,13238,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-01-19,200.0,0,17382,19812,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-01-20,4000.0,0,8784,13870,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-01-21,10000.0,0,7143,19812,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-01-22,1300.0,0,1393,13238,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-01-23,0.0,0,2046,18006,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-01-24,0.0,0,3182,12606,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-01-25,0.0,0,9727,18006,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-01-26,0.0,0,9763,13238,0,0,9,0,0,0,0.0,0.0,,,
group_A,store_0,2017-01-27,0.0,0,18773,19812,0,0,10,0,0,0,0.0,0.0,,,
group_A,store_0,2017-01-28,0.0,0,18773,9989,0,0,90,0,0,0,0.0,0.0,,,
group_A,store_0,2017-01-29,0.0,0,18773,8723,0,0,24,0,0,0,0.0,0.0,,,
group_A,store_0,2017-01-30,0.0,0,2817,9357,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-01-31,0.0,0,0,22977,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-02-01,0.0,0,0,20504,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-02-02,0.0,0,0,4971,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-02-03,0.0,0,0,6935,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-02-04,0.0,0,1029,26115,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-02-05,0.0,0,6857,31876,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-02-06,0.0,0,5714,32418,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-02-07,0.0,0,5714,31876,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-02-08,0.0,0,5714,32418,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-02-09,0.0,0,572,31876,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-02-10,0.0,0,0,32418,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-02-11,0.0,0,0,31876,0,0,0,11,0,0,0.0,0.0,,,
group_A,store_0,2017-02-12,0.0,5376,0,26115,0,0,30,81,0,0,0.0,0.0,,,
group_A,store_0,2017-02-13,0.0,13598,0,6935,0,0,30,84,0,0,0.0,0.0,,,
group_A,store_0,2017-02-14,0.0,13598,74,0,0,0,90,18,0,0,0.0,0.0,,,
group_A,store_0,2017-02-15,0.0,31623,295,0,0,0,32,0,0,0,0.0,0.0,,,
group_A,store_0,2017-02-16,0.0,31623,1471,0,0,0,7,0,0,0,0.0,0.0,,,
group_A,store_0,2017-02-17,0.0,4744,2993,0,0,0,7,7,0,0,0.0,0.0,,,
group_A,store_0,2017-02-18,0.0,0,9947,6303,0,0,0,29,0,0,0.0,0.0,,,
group_A,store_0,2017-02-19,0.0,0,8447,18006,0,0,0,58,0,0,0.0,0.0,,,
group_A,store_0,2017-02-20,0.0,0,6818,12606,0,0,0,230,0,0,0.0,0.0,,,
group_A,store_0,2017-02-21,0.0,0,8618,18006,0,0,0,37,0,0,0.0,0.0,,,
group_A,store_0,2017-02-22,0.0,0,12682,6303,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-02-23,0.0,0,1200,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-02-24,0.0,0,0,6935,0,0,65,0,0,0,0.0,0.0,,,
group_A,store_0,2017-02-25,0.0,0,0,26115,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-02-26,0.0,0,0,31876,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-02-27,0.0,0,0,32418,0,0,0,3,0,0,0.0,0.0,,,
group_A,store_0,2017-02-28,0.0,0,196,24941,0,0,70,70,0,0,0.0,0.0,,,
group_A,store_0,2017-03-01,0.0,0,783,6303,0,0,0,39,0,0,0.0,0.0,,,
group_A,store_0,2017-03-02,0.0,0,3913,0,0,0,0,2,0,0,0.0,0.0,,,
group_A,store_0,2017-03-03,0.0,0,4696,9393,0,0,0,2,0,0,0.0,0.0,,,
group_A,store_0,2017-03-04,0.0,0,5709,33767,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-03-05,0.0,0,12196,29205,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-03-06,0.0,0,11330,6935,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-03-07,0.0,0,6125,11659,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-03-08,0.0,0,563,56642,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-03-09,0.0,0,0,104195,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-03-10,0.0,0,750,92991,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-03-11,0.0,0,8668,61402,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-03-12,0.0,0,24950,22940,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-03-13,0.0,0,21000,24398,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-03-14,0.0,0,22875,24564,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-03-15,0.0,0,14538,13327,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-03-16,0.0,0,12500,26115,0,0,36,1,0,0,0.0,0.0,,,
group_A,store_0,2017-03-17,0.0,0,1875,24941,0,0,90,70,0,0,0.0,0.0,,,
group_A,store_0,2017-03-18,0.0,0,0,6303,0,0,1,18,0,0,0.0,0.0,,,
group_A,store_0,2017-03-19,0.0,0,167,0,0,0,0,4,0,0,0.0,0.0,,,
group_A,store_0,2017-03-20,0.0,0,724,0,0,0,0,4,0,0,0.0,0.0,,,
group_A,store_0,2017-03-21,0.0,0,3561,6303,0,0,0,4,0,0,0.0,0.0,,,
group_A,store_0,2017-03-22,0.0,0,4469,18006,0,0,0,4,0,0,0.0,0.0,,,
group_A,store_0,2017-03-23,0.0,0,4469,20337,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-03-24,0.0,0,1864,40094,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-03-25,0.0,0,1364,18818,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-03-26,0.0,0,205,20493,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-03-27,0.0,0,0,24284,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-03-28,0.0,0,174,13760,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-03-29,0.0,0,1446,25025,0,0,65,0,0,0,0.0,0.0,,,
group_A,store_0,2017-03-30,0.0,0,8478,28131,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-03-31,0.0,0,4674,23219,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-04-01,0.0,0,4174,19541,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-04-02,0.0,0,4174,37818,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-04-03,0.0,0,627,20173,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-04-04,0.0,0,0,19812,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-04-05,0.0,0,0,13870,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-04-06,0.0,0,0,19812,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-04-07,0.0,0,0,6935,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-04-08,0.0,0,0,6303,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-04-09,0.0,0,0,18006,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-04-10,0.0,0,0,6303,0,0,70,0,0,0,0.0,0.0,,,
group_A,store_0,2017-04-11,0.0,0,0,6935,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-04-12,0.0,0,5420,19812,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-04-13,0.0,0,21680,6935,0,0,8,1,0,0,0.0,0.0,,,
group_A,store_0,2017-04-14,0.0,0,108398,0,0,0,78,70,0,0,0.0,0.0,,,
group_A,store_0,2017-04-15,0.0,0,108398,6303,0,0,8,18,0,0,0.0,0.0,,,
group_A,store_0,2017-04-16,0.0,0,108398,18006,0,0,184,4,0,0,0.0,0.0,,,
group_A,store_0,2017-04-17,0.0,0,90332,12606,0,0,146,4,0,0,0.0,0.0,,,
group_A,store_0,2017-04-18,0.0,0,90332,18006,0,0,105,4,0,0,0.0,0.0,,,
group_A,store_0,2017-04-19,0.0,0,90332,6303,0,0,5,4,0,0,0.0,0.0,,,
group_A,store_0,2017-04-20,0.0,0,90332,0,0,0,5,0,0,0,0.0,0.0,,,
group_A,store_0,2017-04-21,0.0,0,108398,6303,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-04-22,0.0,800,108398,18006,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-04-23,0.0,4300,108398,6303,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-04-24,0.0,10000,16260,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-04-25,0.0,1500,0,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-04-26,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-04-27,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-04-28,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-04-29,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-04-30,0.0,0,750,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-05-01,0.0,0,5000,6303,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-05-02,0.0,0,500,18006,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-05-03,0.0,0,167,12606,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-05-04,0.0,0,667,18006,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-05-05,0.0,0,3333,6303,0,0,70,0,0,0,0.0,0.0,,,
group_A,store_0,2017-05-06,0.0,0,3333,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-05-07,0.0,0,3333,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-05-08,0.0,0,500,6303,0,0,65,0,0,0,0.0,0.0,,,
group_A,store_0,2017-05-09,0.0,0,0,18006,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-05-10,0.0,0,0,6303,0,0,65,0,0,0,0.0,0.0,,,
group_A,store_0,2017-05-11,0.0,0,0,0,0,0,4,0,0,0,0.0,0.0,,,
group_A,store_0,2017-05-12,0.0,0,0,2873,0,0,4,0,0,0,0.0,0.0,,,
group_A,store_0,2017-05-13,0.0,0,0,8207,0,0,4,0,0,0,0.0,0.0,,,
group_A,store_0,2017-05-14,0.0,0,4780,2873,0,0,90,0,0,0,0.0,0.0,,,
group_A,store_0,2017-05-15,0.0,0,31120,0,0,0,28,0,0,0,0.0,0.0,,,
group_A,store_0,2017-05-16,0.0,0,8600,0,0,0,25,0,0,0,0.0,0.0,,,
group_A,store_0,2017-05-17,0.0,0,6350,2452,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-05-18,0.0,0,3840,7004,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-05-19,0.0,0,15000,9277,0,0,65,0,0,0,0.0,0.0,,,
group_A,store_0,2017-05-20,0.0,0,15429,19500,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-05-21,0.0,0,5107,6825,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-05-22,0.0,0,3131,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-05-23,0.0,0,7381,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-05-24,0.0,0,2881,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-05-25,0.0,0,239,0,0,0,65,0,0,0,0.0,0.0,,,
group_A,store_0,2017-05-26,200.0,0,0,0,0,0,0,7,0,0,0.0,0.0,,,
group_A,store_0,2017-05-27,4000.0,0,0,0,0,0,0,7,0,0,0.0,0.0,,,
group_A,store_0,2017-05-28,10000.0,0,0,0,0,0,0,36,0,0,0.0,0.0,,,
group_A,store_0,2017-05-29,1300.0,0,343,2838,0,0,0,90,0,0,0.0,0.0,,,
group_A,store_0,2017-05-30,0.0,0,1370,8108,0,0,0,13,0,0,0.0,0.0,,,
group_A,store_0,2017-05-31,0.0,0,6850,2838,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-06-01,0.0,0,6850,2600,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-06-02,0.0,0,8220,7426,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-06-03,0.0,0,1233,5846,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-06-04,0.0,3741,334,9272,0,0,70,0,0,0,0.0,0.0,,,
group_A,store_0,2017-06-05,0.0,9460,1413,3246,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-06-06,0.0,9460,6980,5186,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-06-07,0.0,22000,8229,16776,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-06-08,0.0,22000,8229,12746,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-06-09,0.0,3300,3626,7560,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-06-10,0.0,0,5282,4958,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-06-11,0.0,0,5209,8564,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-06-12,400.0,0,1333,2998,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-06-13,8000.0,0,4162,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-06-14,20000.0,0,4162,0,0,0,70,0,0,0,0.0,0.0,,,
group_A,store_0,2017-06-15,2600.0,0,4162,0,0,0,4,0,0,0,0.0,0.0,,,
group_A,store_0,2017-06-16,0.0,0,625,0,0,0,4,0,0,0,0.0,0.0,,,
group_A,store_0,2017-06-17,0.0,0,0,0,0,0,4,11,0,0,0.0,0.0,,,
group_A,store_0,2017-06-18,0.0,0,125,0,0,0,90,11,0,0,0.0,0.0,,,
group_A,store_0,2017-06-19,400.0,0,500,0,0,0,28,70,0,0,0.0,0.0,,,
group_A,store_0,2017-06-20,8000.0,0,2500,0,0,0,25,12,0,0,0.0,0.0,,,
group_A,store_0,2017-06-21,20200.0,0,2500,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-06-22,6800.0,0,375,3584,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-06-23,14000.0,1701,0,17065,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-06-24,11300.0,4300,2644,23084,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-06-25,1300.0,4300,17625,6825,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-06-26,400.0,10000,14688,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-06-27,8000.0,10000,14688,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-06-28,20000.0,10000,1469,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-06-29,2600.0,10000,0,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-06-30,0.0,10000,0,0,0,0,0,3,0,0,0.0,0.0,,,
group_A,store_0,2017-07-01,0.0,1500,0,0,0,0,0,3,0,0,0.0,0.0,,,
group_A,store_0,2017-07-02,0.0,0,0,0,0,0,0,3,0,0,0.0,0.0,,,
group_A,store_0,2017-07-03,400.0,0,0,0,0,0,0,3,0,0,0.0,0.0,,,
group_A,store_0,2017-07-04,8000.0,0,0,0,0,0,0,90,0,0,0.0,0.0,,,
group_A,store_0,2017-07-05,20000.0,0,0,0,0,0,0,2,0,0,0.0,0.0,,,
group_A,store_0,2017-07-06,2600.0,0,0,6825,0,0,0,2,0,0,0.0,0.0,,,
group_A,store_0,2017-07-07,0.0,0,0,19500,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-07-08,0.0,0,84,6825,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-07-09,200.0,0,334,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-07-10,4400.0,0,1792,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-07-11,18200.0,0,2167,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-07-12,25300.0,0,4167,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-07-13,12600.0,0,2751,5230,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-07-14,1420.0,0,375,14941,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-07-15,2400.0,0,0,8802,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-07-16,6400.0,0,0,10204,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-07-17,9180.0,0,0,3572,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-07-18,28200.0,0,0,6106,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-07-19,26600.0,0,0,17443,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-07-20,12800.0,0,0,6106,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-07-21,5300.0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-07-22,10000.0,0,310,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-07-23,1500.0,0,2062,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-07-24,4400.0,0,1719,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-07-25,18200.0,0,1719,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-07-26,25300.0,0,172,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-07-27,12600.0,0,0,0,0,0,65,0,0,0,0.0,0.0,,,
group_A,store_0,2017-07-28,1300.0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-07-29,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-07-30,200.0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-07-31,4400.0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-08-01,18200.0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-08-02,25300.0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-08-03,12600.0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-08-04,1500.0,0,0,0,0,0,70,0,0,0,0.0,0.0,,,
group_A,store_0,2017-08-05,4000.0,0,710,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-08-06,10200.0,0,4725,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-08-07,5700.0,0,3937,3524,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-08-08,18600.0,0,3937,10068,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-08-09,33300.0,0,395,3524,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-08-10,32600.0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-08-11,3900.0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-08-12,0.0,0,0,3530,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-08-13,200.0,0,0,10083,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-08-14,4400.0,0,0,3530,0,0,70,0,0,0,0.0,0.0,,,
group_A,store_0,2017-08-15,18600.0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-08-16,33300.0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-08-17,32600.0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-08-18,3900.0,0,834,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-08-19,112.0,0,5556,3503,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-08-20,2440.0,0,5556,10007,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-08-21,10000.0,0,4666,3503,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-08-22,19328.0,0,4771,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-08-23,33300.0,0,5334,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-08-24,32600.0,0,1167,3269,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-08-25,3900.0,0,845,9340,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-08-26,0.0,0,845,6530,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-08-27,200.0,0,845,9317,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-08-28,4400.0,0,704,3261,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-08-29,18200.0,0,704,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-08-30,25300.0,0,704,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-08-31,12600.0,0,704,3538,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-09-01,1700.0,0,845,10108,0,0,0,7,0,0,0.0,0.0,,,
group_A,store_0,2017-09-02,8000.0,0,845,3538,0,0,70,7,0,0,0.0,0.0,,,
group_A,store_0,2017-09-03,20000.0,0,845,0,0,0,0,36,0,0,0.0,0.0,,,
group_A,store_0,2017-09-04,2600.0,0,704,0,0,0,0,90,0,0,0.0,0.0,,,
group_A,store_0,2017-09-05,200.0,0,106,0,0,0,0,13,0,0,0.0,0.0,,,
group_A,store_0,2017-09-06,4200.0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-09-07,14000.0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-09-08,11500.0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-09-09,5300.0,0,750,3339,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-09-10,10000.0,0,5000,9538,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-09-11,1300.0,0,608,5299,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-09-12,0.0,0,429,5600,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-09-13,0.0,0,2143,1960,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-09-14,0.0,0,2143,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-09-15,200.0,0,2917,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-09-16,4200.0,0,5433,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-09-17,14000.0,0,8619,6193,0,0,65,0,0,0,0.0,0.0,,,
group_A,store_0,2017-09-18,11300.0,0,5424,17692,0,0,135,0,0,0,0.0,0.0,,,
group_A,store_0,2017-09-19,1300.0,0,3316,12386,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-09-20,200.0,0,314,17692,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-09-21,4000.0,0,0,6193,0,0,4,0,0,0,0.0,0.0,,,
group_A,store_0,2017-09-22,10200.0,0,0,0,0,0,4,0,0,0,0.0,0.0,,,
group_A,store_0,2017-09-23,5300.0,0,0,0,0,0,4,0,0,0,0.0,0.0,,,
group_A,store_0,2017-09-24,10000.0,0,0,6193,0,0,90,0,0,0,0.0,0.0,,,
group_A,store_0,2017-09-25,1300.0,0,0,17692,0,0,28,0,0,0,0.0,0.0,,,
group_A,store_0,2017-09-26,0.0,0,0,6193,0,0,25,0,0,0,0.0,0.0,,,
group_A,store_0,2017-09-27,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-09-28,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-09-29,200.0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-09-30,4000.0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-10-01,10000.0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-10-02,1300.0,0,0,6825,0,0,0,0,0,0,0.0,0.0,,,
group_A,store_0,2017-10-03,0.0,0,2174,19500,0,0,0,0,0,0,0.0,0.0,,,
