id,title,description,start,end,duration,category,labels,country,rank,aviation_rank,phq_attendance,geo,local_rank,location,place_hierarchies,scope,first_seen
BJmqLY9kQNqw,New Year's Eve,New Year's Eve is the last day of the year in the Gregorian calendar. Many parties to welcome the New Year are held in in the United States on New Year's Eve.,2020-12-31 00:00:00+00:00,2020-12-31 23:59:59+00:00,86399,observances,"['holiday', 'observance']",US,90,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2017-01-04 23:07:03+00:00
D82cvkxrTUk8BSLGbr,International Day of Epidemic Preparedness,,2020-12-27 00:00:00+00:00,2020-12-27 23:59:59+00:00,86399,observances,"['holiday', 'observance', 'observance-united-nations']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2021-07-28 00:17:16+00:00
QDPqxb7ll7mM,Kwanzaa (first day),"Kwanzaa is a week-long holiday honoring the culture and traditions of African people and their descendants worldwide, especially in the United States.",2020-12-26 00:00:00+00:00,2020-12-26 23:59:59+00:00,86399,observances,"['holiday', 'observance']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2017-01-04 23:06:54+00:00
AEUSEm4cunYtwfPwPe,Christmas Day,Christmas Day celebrates Jesus Christ's birth.,2020-12-25 00:00:00+00:00,2020-12-25 23:59:59+00:00,86399,public-holidays,"['holiday', 'holiday-christian', 'holiday-local', 'holiday-religious']",US,70,0,,"{'geometry': {'type': 'Point', 'coordinates': [-119.4179324, 36.778261]}}",,"[-119.4179324, 36.778261]","[['6295630', '6255149', '6252001', '5332921']]",region,2021-10-17 01:08:09+00:00
b3xEqLza0Nz0,Christmas Day,Christmas Day celebrates Jesus Christ's birth.,2020-12-25 00:00:00+00:00,2020-12-25 23:59:59+00:00,86399,public-holidays,"['holiday', 'holiday-christian', 'holiday-national', 'holiday-religious']",US,90,100,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2017-01-04 23:06:52+00:00
2GzBLK5LKTFQqdMj7n,Christmas Eve,Christmas Eve in the United States is on December 24 each year.,2020-12-24 00:00:00+00:00,2020-12-24 23:59:59+00:00,86399,public-holidays,"['holiday', 'holiday-national']",US,90,100,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2020-12-23 00:01:21+00:00
7mEmQMgQUfjBvv5ZJF,San Gabriel Unified School District - Christmas Break,,2020-12-24 00:00:00+00:00,2021-01-10 23:59:59+00:00,1555199,school-holidays,"['holiday', 'school']",US,65,0,5567.0,"{'geometry': {'type': 'Polygon', 'coordinates': [[[-118.08156500000001, 34.12104399999996], [-118.08442499999994, 34.12069700000003], [-118.08566299999997, 34.125098000000015], [-118.090189, 34.12256399999996], [-118.09047499999994, 34.122164], [-118.09102000000001, 34.12244199999999], [-118.09121899999995, 34.12218299999997], [-118.09135300000003, 34.12164399999996], [-118.09119400000002, 34.115308000000006], [-118.098153, 34.115266], [-118.09981199999996, 34.11346700000001], [-118.10501800000003, 34.11342799999998], [-118.10532400000002, 34.114620000000016], [-118.11467700000003, 34.113555000000005], [-118.11585199999999, 34.11307000000002], [-118.11668499999999, 34.11234000000002], [-118.12072499999995, 34.106526], [-118.12109500000001, 34.10527499999996], [-118.11617999999996, 34.107666], [-118.115676, 34.10651900000004], [-118.11609199999995, 34.10612099999997], [-118.11477499999997, 34.10428199999996], [-118.11396200000003, 34.10466600000002], [-118.11291000000003, 34.10189499999999], [-118.11293700000003, 34.10035099999996], [-118.113775, 34.09996100000002], [-118.11309800000004, 34.09898699999999], [-118.11346999999999, 34.098807000000015], [-118.11326000000003, 34.09825599999999], [-118.11369599999995, 34.09707699999996], [-118.11306599999996, 34.09606499999998], [-118.11291200000001, 34.09533799999996], [-118.11273099999995, 34.09530399999999], [-118.11270700000001, 34.09387299999998], [-118.10839899999999, 34.09559799999998], [-118.10827199999997, 34.077021999999985], [-118.09956800000002, 34.07714500000004], [-118.09954899999995, 34.079740999999984], [-118.09076699999994, 34.080162], [-118.09084899999998, 34.09171299999996], [-118.07784800000003, 34.09180600000002], [-118.07751600000002, 34.09194699999996], [-118.073322, 34.090560000000046], [-118.07349400000003, 34.10630999999998], [-118.08220999999999, 34.106266999999974], [-118.08230199999997, 34.11350700000003], [-118.08065099999996, 34.113517999999964], [-118.08151299999997, 34.11739700000001], [-118.08156500000001, 34.12104399999996]]]}}",45.0,"[-118.0955829758, 34.1004562345]","[['6295630', '6255149', '6252001', '5332921', '5368381']]",county,2021-08-13 04:03:25+00:00
BKLs7Mdi4UA6EYBVuU,Azusa Unified School District - Christmas Break,,2020-12-24 00:00:00+00:00,2021-01-12 23:59:59+00:00,1727999,school-holidays,"['holiday', 'school']",US,71,0,11763.0,"{'geometry': {'type': 'Polygon', 'coordinates': [[[-117.647027, 34.29712899999998], [-117.65045399999994, 34.33896300000002], [-117.66149899999996, 34.33843900000001], [-117.740966, 34.33843800000001], [-117.79567800000002, 34.33861300000002], [-117.828814, 34.33843199999996], [-117.83713499999996, 34.338688000000005], [-117.83800699999999, 34.338562999999965], [-117.949145, 34.33828499999996], [-117.97606999999998, 34.338089999999994], [-117.97903599999998, 34.29619800000004], [-117.97855499999997, 34.28119100000003], [-117.97873199999997, 34.25295700000002], [-117.97829199999997, 34.234304999999964], [-117.97787199999995, 34.22349099999996], [-117.92546600000003, 34.22360399999998], [-117.92480099999999, 34.171179], [-117.92478999999996, 34.156101999999976], [-117.92498700000002, 34.15233500000004], [-117.92494999999997, 34.14929399999996], [-117.92758099999996, 34.147065000000005], [-117.93916999999996, 34.135116999999966], [-117.93969699999997, 34.134739000000046], [-117.94264699999998, 34.13155800000001], [-117.94295299999997, 34.107064000000015], [-117.92536300000003, 34.106964999999995], [-117.92539300000003, 34.099527999999985], [-117.91251099999998, 34.099574999999966], [-117.90814399999996, 34.09937099999996], [-117.90763299999996, 34.09938800000004], [-117.90765000000003, 34.10675400000004], [-117.89026200000002, 34.106804999999994], [-117.89023799999998, 34.10859299999996], [-117.88586600000001, 34.10856700000003], [-117.885837, 34.11039400000003], [-117.88145799999997, 34.11045200000003], [-117.88147599999995, 34.10850199999998], [-117.87672599999995, 34.10854000000002], [-117.87686599999999, 34.10839200000003], [-117.87687400000003, 34.10666900000002], [-117.87457799999994, 34.106672999999994], [-117.87458899999997, 34.10744799999999], [-117.87481500000001, 34.10746299999999], [-117.87486100000001, 34.11392599999997], [-117.87252799999997, 34.113921999999995], [-117.87257099999998, 34.12146399999999], [-117.88137099999996, 34.12144300000003], [-117.88134099999996, 34.136017], [-117.88931699999999, 34.136014000000024], [-117.88991999999996, 34.13584399999999], [-117.89005099999997, 34.15038000000002], [-117.88137499999993, 34.15059499999996], [-117.88125800000003, 34.16509700000002], [-117.87246599999999, 34.16507599999997], [-117.87357999999998, 34.17911699999999], [-117.85576499999998, 34.179307999999985], [-117.85584999999999, 34.208405999999975], [-117.82944799999996, 34.208723000000006], [-117.82958799999999, 34.222273999999985], [-117.81862100000004, 34.223236], [-117.75055699999997, 34.22287699999996], [-117.750787, 34.24148999999999], [-117.750698, 34.251883999999976], [-117.74990600000002, 34.26304999999997], [-117.74904999999998, 34.28109200000001], [-117.74590400000001, 34.29664399999999], [-117.647027, 34.29712899999998]]]}}",65.0,"[-117.8520245005, 34.2630520497]","[['6295630', '6255149', '6252001', '5332921', '5368381']]",county,2021-08-13 04:49:54+00:00
lljqM1zoRGVk,Christmas Eve,Christmas Eve in the United States is on December 24 each year.,2020-12-24 00:00:00+00:00,2020-12-24 23:59:59+00:00,86399,observances,"['holiday', 'holiday-christian', 'holiday-religious', 'observance']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2017-01-04 23:06:51+00:00
YeVAbxBEe8ZQ,December Solstice,,2020-12-21 00:00:00+00:00,2020-12-21 23:59:59+00:00,86399,observances,"['holiday', 'observance', 'observance-season']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2017-01-04 23:06:45+00:00
